Name,HomePage URL,LinkedIn Page,Founders,Category,Country,,
PileGrowth Tech,http://www.pilegrowth.com,,,"Innovation Engineering, Industrial, Semiconductors",ITA,,
Arkin,http://www.arkin.net,http://www.linkedin.com/company/arkin-net,"Abhijit Sharma, Rohit Toshniwal, Mukul Gupta, Shiv Agarwal","Computers, Networking, Software",USA,,
Spirometrix,http://spirometrix.com/,http://www.linkedin.com/company/spirometrix-inc-,\ufeffRyan\ufeff\ufeff Leard\ufeff\ufeff,Medical Devices,USA,,
Confluent,http://confluent.io/,https://www.linkedin.com/company/confluent,"Jun Rao, Neha Narkhede, Jay Kreps","Big Data, Enterprise Software, Technology",USA,,
NEMUS Bioscience,http://nemusbioscience.com/,http://www.linkedin.com/company/nemus-bioscience-inc-,,Pharmaceuticals,USA,,
Cohesity,http://www.cohesity.com/,,Mohit Aron,Storage,USA,,
PPzuche.com,http://ppzuche.com,,,Transportation,CHN,,
NetSpeed Systems,http://www.netspeedsystems.com,http://www.linkedin.com/company/netspeed-systems,Sailesh Kumar,Semiconductors,USA,,
APUS Group,http://www.apusapps.com/,,Li Tao,"Service Providers, Utilities, Apps, Personalization",CHN,,
Gogoro,http://gogoro.com,https://www.linkedin.com/company/gogoro,"Matt Taylor, Horace Luke",Energy,USA,,
SponDoolies-Tech,http://www.spondoolies-tech.com/,http://www.linkedin.com/company/spondoolies-tech,,"Virtual Currency, Hardware",ISR,,
CarPrice.ru,http://carprice.ru/,,"Eduard Gurinovich, Sergej Thiessen, Sasha Danilov","Cars, Automotive, Direct Sales",RUS,,
Wyplay,http://www.wyplay.com,,,"Internet TV, Embedded Hardware and Software, Telecommunications, Broadcasting, Software",FRA,,
Lomark,http://www.lomark.cn/,,,Advertising,JPN,,
HotelRunner,http://www.hotelrunner.com,http://www.linkedin.com/company/cloudarena,"Arden Agopyan, Ali Beklen, Tolga Yalcinkaya","Software, Online Reservations, Travel & Tourism, Travel",TUR,,
IMatchative,http://imatchative.com/,,Sam Hocking,"Algorithms, Technology, Services, Information Technology",USA,,
Ayibang,http://www.ayibang.com/,,Wan Yong,"Services, Mobile",CHN,,
